,xval,x0,y0,z0,x1,y1,z1
0,1e-05,-0.016000000000000014,-0.06349999999999995,0.968,-0.01200000000000001,-0.08800000000000002,0.9615
1,0.002,-0.09949999999999998,-0.414,0.8714999999999999,-0.06499999999999995,-0.4215,0.865
2,0.004,-0.10000000000000003,-0.5880000000000001,0.7315,-0.032999999999999974,-0.5940000000000001,0.7150000000000001
3,0.006,-0.04849999999999999,-0.7645,0.5725,0.02350000000000002,-0.7529999999999999,0.5674999999999999
4,0.008,-0.04200000000000004,-0.8795,0.373,0.030000000000000027,-0.8939999999999999,0.38199999999999995
5,0.01,-0.0044999999999999485,-0.9275,0.14599999999999996,0.09050000000000002,-0.9305000000000001,0.16799999999999998
6,0.012,0.014000000000000012,-0.938,-0.11400000000000005,0.09200000000000003,-0.94,-0.05600000000000005
7,0.014,0.006999999999999951,-0.8899999999999999,-0.3185,0.10099999999999998,-0.8905000000000001,-0.328
8,0.016,-0.0004999999999999449,-0.772,-0.5605,0.11699999999999999,-0.7589999999999999,-0.54
9,0.018000000000000002,0.006000000000000005,-0.5365,-0.7709999999999999,0.10549999999999998,-0.538,-0.7765
10,0.02,-0.0004999999999999449,-0.3065,-0.9079999999999999,0.06899999999999995,-0.309,-0.9099999999999999
11,0.022,0.025500000000000023,-0.04049999999999998,-0.9515,0.07549999999999996,-0.026000000000000023,-0.944
12,0.024,0.03400000000000003,0.22649999999999998,-0.9285000000000001,0.06899999999999995,0.19649999999999995,-0.9185000000000001
13,0.026000000000000002,0.02350000000000002,0.44249999999999995,-0.8345,0.01699999999999996,0.4765,-0.8285
14,0.028,-0.008000000000000007,0.657,-0.7135,0.029500000000000026,0.6635,-0.7070000000000001
15,0.03,-0.016000000000000014,0.8065,-0.5369999999999999,0.014999999999999958,0.8205,-0.5385
16,0.032,0.020999999999999963,0.9285000000000001,-0.26849999999999996,0.012499999999999956,0.9155,-0.28750000000000003
17,0.034,-0.0015000000000000013,0.9775,-0.014000000000000012,-0.008000000000000007,0.972,0.0024999999999999467
18,0.036000000000000004,0.0040000000000000036,0.927,0.28099999999999997,-0.026000000000000023,0.9239999999999999,0.27299999999999996
19,0.038,0.01699999999999996,0.8240000000000001,0.51,-0.006999999999999951,0.839,0.518
20,0.04,-0.019500000000000017,0.6735,0.7490000000000001,-0.03200000000000003,0.6525000000000001,0.7244999999999999
21,0.042,0.006000000000000005,0.43799999999999994,0.8819999999999999,-0.04099999999999998,0.432,0.8720000000000001
22,0.044,-0.029500000000000026,0.23100000000000004,0.9450000000000001,-0.019500000000000017,0.2015,0.9515
23,0.046,-0.03249999999999997,-0.056499999999999995,0.974,-0.027500000000000024,-0.044499999999999984,0.9684999999999999
24,0.048,0.006000000000000005,-0.3145,0.9279999999999999,-0.01849999999999996,-0.3085,0.927
25,0.05,0.010000000000000009,-0.569,0.7965,0.02150000000000002,-0.5680000000000001,0.7695000000000001
26,0.052000000000000005,-0.00649999999999995,-0.752,0.5865,-0.016000000000000014,-0.7609999999999999,0.6100000000000001
27,0.054,-0.03550000000000003,-0.8895,0.3675,0.029500000000000026,-0.8915,0.35600000000000004
28,0.056,-0.006000000000000005,-0.9490000000000001,0.07899999999999996,0.02200000000000002,-0.9495,0.09499999999999997
29,0.058,-0.02400000000000002,-0.9435,-0.17700000000000005,0.00649999999999995,-0.9464999999999999,-0.139
30,0.06,-0.018000000000000016,-0.8645,-0.389,0.0645,-0.875,-0.416
31,0.062,0.0020000000000000018,-0.7410000000000001,-0.6014999999999999,0.044999999999999984,-0.738,-0.6255
32,0.064,0.01150000000000001,-0.5245,-0.8,0.044499999999999984,-0.5369999999999999,-0.7809999999999999
33,0.066,0.018000000000000016,-0.28550000000000003,-0.907,0.04049999999999998,-0.278,-0.9165000000000001
34,0.068,0.03600000000000003,0.01899999999999996,-0.96,0.024499999999999966,0.010000000000000009,-0.966
35,0.07,0.01849999999999996,0.2655,-0.9275,0.03699999999999998,0.26249999999999996,-0.9325000000000001
