train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
2.1137345,0.7171171,0.36888975,-0.02751682,0.06940813,1.1401969,-0.35202372,-0.65349287,-0.6445589,-0.48859885
0.4713636,-0.5549638,-0.97364247,-0.62100947,-0.1868081,0.12644789,-0.69587755,-0.8061018,-0.6425182,-0.61179656
1.972343,-0.3746504,-0.41321638,-0.22536667,-0.31272507,1.9923072,0.17225668,0.27330863,0.32143113,0.52114385
2.6640952,-0.2058635,-0.5059891,-1.2036935,-0.5488583,2.5786324,0.59659016,0.13749948,-0.120331235,0.12158342
2.253243,0.5038021,0.13021113,-0.5584015,-0.03394832,2.2803223,1.4588003,0.8754489,0.60836595,0.7674021
3.385655,1.9010087,0.78229964,0.9838981,0.7526584,1.7443216,0.48820114,-0.3540545,0.15511392,0.19805345
2.7231126,-0.13788533,-0.77506846,-0.94111574,-0.7094858,1.562248,-0.08469879,-0.69490683,-0.8379995,-0.59073573
-0.30011448,0.39922607,0.6904282,0.028139351,0.1946278,2.8006742,2.2010248,0.7475352,0.85508883,0.7434271
2.1223478,0.46327594,0.15838395,0.31529686,0.102286085,4.332835,2.2446332,0.9113346,0.74913204,1.0274909
0.29210764,-0.018598093,-0.30238095,-0.43381852,-0.18871425,2.5107112,1.0494598,1.0220325,1.5292422,1.554045
1.940797,0.91320336,0.839109,0.38608813,0.4877565,6.0872636,2.5128412,1.546393,1.8707643,1.8327693
3.0088089,-0.038284402,0.29125467,-0.10028924,0.0030747699,3.8876355,0.7314788,0.53510857,0.7220627,0.34649846
2.5109649,0.4790582,1.0014493,0.5525805,0.7496398,0.063032135,0.9142177,0.87109166,1.1575947,0.85973895
1.1878347,-0.49124962,0.23007362,-0.20304866,-0.062703826,3.598957,1.7324214,0.561637,1.0915223,0.5671451
1.4079089,-0.114470154,-0.5011867,-0.84261584,-1.075104,0.3345233,-0.07880312,-0.650913,-0.68298465,-0.36634192
-0.74725664,-1.8139766,-1.5065775,-1.2139704,-0.89145356,2.3759496,1.0644083,0.8659861,0.5913897,0.5831197
0.939869,1.6047132,0.39709955,1.2535994,0.34448582,3.2971013,0.849574,-0.094419174,-0.2389036,-0.40103433
-0.33601052,-0.14302672,0.4627122,-0.515577,0.06024696,1.9638534,0.93876916,0.17049116,0.066877104,0.24775009
-0.13359432,-0.6372033,-0.22426876,-0.63224757,-0.05609792,2.7635207,1.2668066,0.16436206,-0.022236774,-0.2936331
0.7279861,-0.5599084,0.6801205,-0.35286045,-0.36140105,0.98821867,0.31472096,-0.09039649,0.12930155,0.39076388
1.3172303,-0.05278675,-0.10957411,-0.30014154,-0.27452353,3.710627,1.724101,0.6725912,0.73198706,0.59126544
2.500858,-1.3204889,0.3246346,-0.634575,-0.6172276,2.5524092,0.47129533,0.060381815,0.22021784,0.13868059
1.0044038,0.5051327,-0.15842107,-0.74584705,-0.45200282,0.013602835,-0.23941752,-0.20947565,-0.17919722,-0.4270325
3.1388502,-0.083714716,0.041106306,-0.91478896,-0.6225668,3.0407689,1.1998069,0.3862313,0.36437646,0.17118381
1.1860012,0.8808926,-0.37155545,-0.11978064,-0.045513142,0.2431945,-0.7405928,-0.9947923,-1.1206384,-1.2485522
0.58321965,-1.2480403,-0.89277387,-1.4903506,-1.1830325,4.0955806,0.99457985,0.32189426,0.5083778,0.48292917
3.6234834,0.9746402,0.7358635,0.60004044,0.24639797,2.9246225,0.29476658,0.49814516,-0.15939587,-0.11450672
-1.9544797,-1.4255239,-0.944204,-1.2459124,-1.5966524,1.4170907,0.888828,-0.27785367,-0.0052338117,0.1871155
1.7727668,0.4110781,0.4633632,-0.063217744,-0.13846098,4.8969994,1.7544831,0.85216963,1.1420283,1.020582
3.3830504,0.45368135,-0.74156785,-0.0046741213,-0.097157106,3.676346,1.4231268,0.091336176,0.9191184,0.756479
2.017452,-0.12499859,0.42751133,-0.4557083,-0.3653626,-0.2216243,-0.86081,-0.4817861,-0.9138202,-0.9087417
-0.007649012,0.80777353,0.8134416,0.8409947,0.12529393,2.7337224,1.4532573,0.9348723,1.294436,1.2651917
-0.25915724,-2.2482934,-1.8267808,-2.3708963,-2.4017227,3.4100764,2.0954032,0.50141317,0.6105462,0.96357596
2.6232173,-0.14238168,-0.439126,-0.38268912,-0.19639356,2.9442232,1.0001161,0.7482233,0.46876714,0.25541365
-0.23841204,0.03862404,-0.9298054,-0.5231126,-0.6698786,2.5250578,1.4613808,1.1218581,1.2178588,1.3508742
2.7427783,0.32748157,-0.29613617,0.25874925,-0.016529966,5.645271,2.3972154,1.7083231,2.0434191,1.8400936
2.4393494,1.061938,1.2481294,0.67435604,0.7629482,-0.95741665,-0.8580718,-0.6886853,-0.9144927,-0.78639555
2.635273,-0.53138393,-0.5192535,-0.20667216,0.11279459,1.9100769,-0.007617722,-0.6304768,-0.96473163,-0.9521424
2.6881347,-0.057436094,-0.6911847,-0.5502486,-0.7350889,1.9600836,0.19559681,-0.24427414,-0.12130418,0.049403477
1.6736481,1.1035346,1.022986,0.79192024,0.507277,5.4834585,2.6778014,1.0627253,1.2777215,1.3010815
2.5395684,-0.06544058,-1.1677909,-1.0459075,-0.70342374,2.7335334,0.52439016,0.041152585,-0.041898936,-0.6757713
1.7243929,-1.3482369,-1.9742905,-1.6386774,-1.4831482,3.387936,0.957106,0.4315222,-0.10429467,0.3038383
4.03957,2.0365295,1.6388656,2.1669707,1.7507604,3.8866503,1.8293281,1.1592909,1.6745574,1.4871109
1.5842584,-0.782852,-0.8348369,-0.72766876,-0.8407736,3.971621,0.870144,-0.23312365,0.26156783,0.2973546
2.829494,-0.5068143,-0.60713154,-1.2814138,-0.89647937,3.568971,0.9099813,0.21322167,0.6731342,0.66850656
1.6334367,0.92127466,0.6419278,-0.0074381237,0.54561776,3.679083,1.4219965,0.5913343,0.40493527,0.39237103
2.7494874,-0.5257935,-0.23456363,-0.028563362,-0.45567197,5.7774563,2.3449767,1.5382514,1.0662869,1.2953095
-0.79622155,-1.0158085,-0.33375067,0.0989703,-0.18641129,6.206015,2.2136438,0.7791837,0.7191655,0.6555789
2.5254197,0.11380158,-0.9544694,0.5656582,-0.12598805,2.7878819,1.605585,1.171734,1.1309376,0.9434365
-0.77040654,-0.6253145,-0.55796564,-0.6019581,-0.53176785,4.4469633,1.4534061,0.7402599,1.4255298,1.4781686
0.6436903,-0.8146618,-1.0276706,-1.287983,-1.4711967,1.5585035,0.37137467,-0.115628034,0.26092583,0.10765589
