train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
-0.9421446,1.8255526,0.8845891,0.85229963,1.1022251,0.033437543,-0.49005392,-0.035021964,0.18510383,0.17635429,-0.45898452
1.1089982,0.7221644,1.907407,1.7561591,2.0833168,-2.0377824,-0.8456884,-1.0893244,-1.0060061,-0.9017501,-0.5798313
-0.8114729,-0.5308616,-0.6796397,-0.6111315,-0.755317,-0.825735,-0.43228,-0.9201466,-0.7712572,-0.5525421,-0.10016394
1.1601063,-0.41550806,0.28426066,-0.060756717,0.24534842,1.509421,0.39760008,-0.029245703,-0.05795396,0.24285075,0.6261722
-2.534973,-2.5519202,-2.910371,-2.818588,-2.285959,-2.5593798,-1.0463701,-0.5139484,-0.41526362,-0.26898897,-1.0764085
-0.25839072,-0.4654281,-0.35560444,-0.03140508,0.12967817,-0.3286585,-0.4489907,-0.40586382,-0.6535329,-0.55874103,-0.120239854
1.5636392,1.7482387,1.9740878,1.8236755,1.3812724,0.47463396,0.46180135,0.5895134,0.48938814,0.30220115,0.67691934
1.1297987,2.5150757,1.9599643,1.6859581,1.6601654,1.8135945,1.0511945,0.6441846,0.5513191,0.38805294,1.3189179
2.3602252,1.8517442,0.8021285,1.1842015,1.2394705,-0.2724531,0.3420749,0.41309983,0.17310736,0.027074514,0.64929295
2.617689,0.8558766,1.502717,1.1585302,1.5764778,-0.4964038,-1.076326,-0.7637802,-0.7538453,-0.76110774,-0.9679501
-0.6324186,0.643408,1.6985697,1.2951655,1.4004588,0.9655258,0.40841323,0.41406125,0.36351627,0.38436863,0.57718694
-2.9480498,-2.3279493,-0.7328604,-0.67721975,-0.7410606,-1.3005191,-1.5325601,-1.0141025,-0.97587985,-1.0431173,-1.62032
2.3176832,2.4017327,2.2247596,2.4781334,2.0317628,0.95028573,0.102253206,0.28628743,0.1634829,0.09329169,0.3336581
-1.7612412,-0.62103325,0.2609259,0.26821238,0.3576911,-2.6148415,-2.121276,-1.0401633,-1.0619156,-0.9286009,-2.360077
0.5287513,1.1744784,0.30862236,0.4922276,0.7051409,0.49415666,-0.4289224,-0.35859832,-0.49544433,-0.6591074,-0.06382108
2.853256,1.6495892,0.73631495,0.27584,0.24850476,0.40569147,0.48701447,0.37158728,0.4106359,0.6884946,0.5311363
