train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
-2.6628199,-2.0872097,-2.5006163,-2.7572114,-2.7177362,-0.3286585,-0.65668815,-0.48889738,-0.4700016,-0.18568404
1.0197482,1.2075263,2.0141723,1.319368,1.5056187,0.47463396,0.41973826,0.4072669,0.20731235,0.050446186
1.8304785,1.0920926,0.66576934,0.64820606,1.3258835,1.8135945,1.6573386,0.814149,0.43888134,0.35941365
0.3421924,0.194339,-0.5855279,-0.49674085,0.24582648,-0.2724531,0.017513886,-0.020257996,-0.3097401,-0.3660425
1.2712556,2.4224527,1.4602629,1.2406932,0.78195393,-0.4964038,-0.43910074,0.30811933,0.20806953,-0.26582423
1.5510129,0.78002656,0.26986337,0.67464817,0.28472543,0.9655258,0.94718415,0.76220095,0.7454796,0.43468305
-3.1240094,-2.6789508,-2.0579734,-2.05054,-1.871097,-1.3005191,0.06321945,0.018219894,-0.10000533,-0.2878932
-0.07403421,1.5511987,0.95054233,1.5911626,0.75360906,0.95028573,0.64853907,0.08643971,0.54829735,0.25532302
-1.6239841,-1.2504675,-1.6894897,-1.4757026,-1.3722925,-2.6148415,-2.6044123,-2.1336467,-1.811896,-2.4720297
0.8229034,0.74115396,0.55679744,0.568062,0.0534255,0.49415666,0.9151239,1.1862513,0.6828649,0.937459
2.4616055,1.4469655,2.1826508,2.425698,1.9859793,0.40569147,0.026364984,-0.0429894,-0.0984314,-0.2061731
0.11287133,0.5314255,-0.13668366,0.4880992,0.37796602,-0.6105366,-0.32219106,0.26751924,0.44882062,0.6247757
2.0332572,0.9749067,1.9439839,1.589687,1.3563584,1.1285487,0.60122204,0.28995508,0.40191174,0.3242061
0.66873825,1.0457264,1.1572561,1.9728273,1.5091326,2.044224,1.4042443,0.5460618,0.1454155,-0.10733264
-1.985064,-2.8338268,-2.6289723,-2.0442092,-1.8484945,-1.4046495,-0.69497806,-0.62826717,-0.117713146,-0.22748537
-1.2416966,-0.85952973,-0.9592727,-1.0483595,-0.47567615,-1.647946,-1.4152569,-0.91918683,-1.0895733,-0.80321723
-0.5183638,0.20952557,-0.76665676,-1.1341505,-1.0603417,1.4873236,1.1817414,0.8837999,1.2484047,1.2627062
-1.2300438,-2.1471338,-2.351694,-2.0242856,-1.6864442,0.8656155,0.64420265,0.38253546,0.84352297,0.6720601
-0.5420346,-0.61636573,-0.15373412,-0.07769348,0.1517716,-1.5600481,-1.3765007,-0.80974734,-1.2223369,-1.0046208
0.4544067,0.2870175,-0.38593778,0.014288269,0.36086303,0.5994083,0.4013102,0.023825623,-0.3490536,-0.7312567
1.088653,1.2035005,2.016836,0.993682,0.7830945,-1.9266971,-0.9743039,-0.4372407,-0.9240884,-0.8163804
-0.14080939,-1.338772,-1.2860833,-1.7454873,-1.4599154,-2.186738,-1.4048316,-1.0817434,-0.9300885,-0.21910468
0.4617495,0.12077052,1.0891045,1.0447092,1.4182547,-0.8044446,-0.7057349,-1.0760291,-0.14958587,-0.3824919
-2.8862345,-1.1769524,-1.3744304,-1.4262275,-1.6104183,2.0641806,1.3867878,0.3374202,0.4290453,0.19056752
-0.81237966,0.15927604,-0.19149072,-0.31587422,-0.3395189,-0.723628,-0.21308942,-0.12590633,-0.141888,-0.19324857
-0.9299916,-0.55554026,-0.7901998,-1.5611966,-0.7039579,-0.55004245,0.043093093,-0.41047293,-0.053645086,0.008244071
-1.6721334,-2.003037,-1.7601355,-1.8891276,-1.6467922,0.00873737,-0.4152024,-0.13186894,-0.480509,-0.09418375
0.43273872,0.4979408,0.41587484,0.34391218,0.4522164,0.17614576,0.11999992,-1.0482833,-0.4703503,-0.53088176
-1.1941669,-1.423435,-0.9737423,-0.450436,-0.9488046,-1.0039189,-0.28093177,0.18844388,0.1955071,0.04226015
-1.6229212,-1.38551,-1.5958762,-2.170893,-1.4729853,0.6659607,0.6177693,0.20454817,0.36441964,-0.074601986
0.5856968,-0.7510221,-0.52552485,-0.9147815,-0.62050897,0.32921413,0.6016631,0.24300687,0.2756853,-0.08003482
2.0542567,1.8623804,1.5229936,1.2493421,1.7039483,-1.2827978,-0.9687795,-0.7394124,-0.37642112,-0.58513117
-0.6099949,-0.34906054,0.11978344,0.41193122,-0.7417078,0.79591787,1.0597183,1.3422316,1.3716059,0.71150404
0.28907296,0.9876251,0.47856688,-0.56355524,-0.004251579,1.9131374,1.8252866,1.098768,1.5532801,0.8003705
