train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
2.70067,-0.13648258,-0.6015085,-0.27661875,-0.47808787,1.9923072,0.8464547,-0.38169158,0.4700997,0.560551
5.07034,2.8037484,1.6518022,1.1644342,1.1778606,2.5786324,0.41733122,-0.687797,-0.17004335,-0.23094843
-0.5293235,-0.5438042,-0.6629598,-0.79627085,-0.6874822,2.2803223,2.4319625,1.7744982,1.6751631,1.3971483
2.0676246,0.63090754,-0.4623354,-0.4028888,-0.276352,1.7443216,1.1943661,-0.34500942,-0.25589398,-0.22191422
2.3790681,0.33904874,0.098605,-0.14640284,0.083328255,1.562248,0.30873805,-0.38851726,-0.5637489,-0.72442085
-0.0019407696,0.4593387,-0.64883316,-0.38036117,0.007711525,2.8006742,1.53286,1.2703158,1.2115632,1.4467076
0.9790823,0.26588228,0.30302665,0.19484584,0.094455026,4.332835,1.7632881,0.58603734,1.4766027,1.1538639
2.0101836,0.7777132,0.4244133,0.37438604,-0.0889014,2.5107112,1.5553191,-0.20588326,1.1618986,0.9025023
-0.571254,-0.72178507,-0.3308083,-0.4615968,-0.84820557,6.0872636,1.9077164,0.906407,0.6053722,1.2736745
4.6093383,2.6701624,1.8071139,1.5664631,1.4792233,3.8876355,1.9785848,0.88757116,1.0727259,1.2445011
1.389846,0.7144975,1.1007731,0.4852409,0.75735414,0.063032135,0.8020339,1.0897317,0.7009675,0.70476884
1.5094202,1.3811698,1.0651839,0.98597974,1.5134217,3.598957,0.8593058,0.46235672,0.42974183,0.23297882
3.2357597,1.6557678,0.2983085,0.3357355,0.36057195,0.3345233,-0.53466433,-1.0767368,-1.0133364,-0.8837303
0.16903986,1.1703105,1.2347069,0.7910728,0.75893563,2.3759496,1.6416404,0.73916763,1.4869133,1.3542725
2.9078496,0.97943586,-0.13023765,0.17346546,-0.008178037,3.2971013,1.3970957,1.4700994,0.83941174,0.5296568
1.478434,1.2231358,1.3501834,1.6873574,0.8331436,1.9638534,0.6385389,-0.5813064,0.39029744,0.3622572
0.5728367,-0.28808865,-0.10858918,-0.45763144,-0.80086863,2.7635207,1.7879895,0.9851979,0.9448128,0.7720877
0.29121035,0.6140513,-0.7922577,-0.3858218,0.28945693,0.98821867,0.6411523,-0.32091874,0.060574558,0.20502265
1.6074922,1.3472171,1.1170423,0.6780202,1.1044656,3.710627,2.136662,0.75867784,1.520523,1.4960002
1.7462356,-0.6168367,-0.7018726,-0.711279,-0.74033684,2.5524092,0.7909858,0.0024254278,-0.05849421,0.18031076
3.2415915,2.9077928,1.770416,1.807016,2.3652725,0.013602835,0.2831164,-0.17739072,0.116832666,0.113226324
4.7249374,1.707516,0.9750296,0.8377597,0.8456974,3.0407689,1.1407897,1.6532975,0.36454824,0.5552907
