train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
1.5984099,0.9322601,1.1011521,1.6076066,-0.0994609,2.4259956,1.5840135,1.3854618,1.0523779,0.55738306,2.9229915
2.7403288,1.1287429,0.30350494,0.17453837,0.5463547,0.750769,0.4371366,0.3051649,0.2546007,-0.45734525,1.1002967
1.4363943,0.69023895,-0.23264383,-0.12499326,-0.34366885,1.1401969,-0.19429752,0.1621686,0.41034698,-0.08470573,0.7476473
4.2656074,2.3015144,1.9580901,1.8489585,0.89064455,0.12644789,0.4619419,0.20942412,0.036960132,-0.13166602,1.4646782
2.7966166,1.6765805,0.28764892,0.9657759,0.93187463,1.9923072,1.8083773,1.2232268,1.6236725,0.89881164,3.3079188
2.6262217,2.2022417,1.1516708,0.60732806,1.2547454,2.5786324,1.8879325,1.0184209,0.9746443,0.41172403,2.8673565
-0.96328646,-0.76365954,-1.3558855,-0.7581389,-0.459344,2.2803223,1.3070858,1.1287795,1.1597108,0.38959533,2.6519623
3.4385407,1.5004026,1.2572445,1.0094512,0.04383779,1.7443216,0.8481227,1.1889433,1.3153545,0.23031469,2.2085586
2.1243043,0.80654544,1.3184825,1.3637136,0.5429817,1.562248,0.64698815,0.42789996,0.21719189,-0.16581915,1.6168859
-0.17269337,-1.4907925,-0.40767843,-0.41470248,-0.9291339,2.8006742,0.50579816,1.1352664,0.6865443,0.35848674,2.0427666
0.113780044,-1.7882841,-1.443575,-1.326598,-0.019604519,4.332835,2.7615447,1.9913455,1.7169833,1.373747,3.9309173
0.8949364,-0.5153572,0.55260617,0.17461579,-0.5881534,2.5107112,1.9941533,1.5099674,1.7173634,1.4979743,3.864789
-0.30764136,-1.3649939,-0.5248172,-0.9245922,-0.41012445,6.0872636,2.9556692,2.1169884,1.7727792,1.4335732,4.0428877
4.2328606,3.1072643,2.3447201,1.8362398,0.9727103,3.8876355,1.3804744,1.4774883,1.3646151,0.7170445,3.006165
-0.5134171,-1.423129,-0.3942518,-1.2550675,0.122509636,0.063032135,0.2904052,0.43778327,0.33171666,0.19773448,1.6388696
2.749544,0.9201989,1.4200855,0.41193947,0.69945157,3.598957,2.3825564,1.9451141,2.1413755,1.3913058,3.8529255
2.0743434,0.82417005,0.31095645,-0.38800687,0.929271,0.3345233,-0.22530812,-0.16276605,0.14782736,-0.43862537,0.3407242
3.5034368,2.167501,2.008469,1.8950342,0.83972627,2.3759496,1.0536871,0.70345604,1.0460619,0.851321,2.983926
1.7592579,-0.34310496,0.48983192,0.38834056,0.4586393,3.2971013,0.52407944,1.0890731,0.8648839,0.46319404,2.175811
