train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
-2.534973,-3.2095258,-2.856087,-3.13035,-2.9188275,-2.5593798,-0.52061623,-0.43371513,-0.23368263,-0.18672055
-0.25839072,-0.63524514,-1.0223861,-0.14429276,-0.08754469,-0.3286585,-0.29283807,-0.102739245,0.025539154,0.017488625
1.5636392,2.3766017,1.4404817,1.7447879,2.2515829,0.47463396,0.37563738,0.5139124,0.5043764,0.62476903
1.1297987,3.2560263,1.6384827,2.1683693,2.1659732,1.8135945,1.3601296,0.606536,0.7392563,0.5607202
2.3602252,1.1714672,0.89803326,0.78190243,1.1170768,-0.2724531,-0.1921234,0.1044283,0.2305341,-0.23946756
2.617689,2.5595315,1.572634,1.9187142,2.2140822,-0.4964038,-0.4753862,-0.5897846,-0.947411,-1.0288211
-0.6324186,1.5017205,1.5471803,0.677854,0.79893106,0.9655258,0.5748349,0.9086245,0.64461297,0.74301064
-2.9480498,-1.7902837,-0.4407058,-0.9595809,-0.968946,-1.3005191,-0.852383,-0.98557425,-0.941083,-0.9620284
2.3176832,2.6639671,2.4404292,2.284181,1.8705256,0.95028573,-0.5275073,-0.18155074,-0.120629445,0.45338792
-1.7612412,-0.4485504,0.75440633,0.15494482,-0.49582162,-2.6148415,-1.7515689,-1.3650143,-1.3647174,-1.3086537
0.5287513,1.3446814,0.6419475,1.1460258,0.94576895,0.49415666,-0.05198352,-0.6329876,-0.74670976,-0.6993471
2.853256,0.774241,0.7740925,0.5726263,0.71693575,0.40569147,0.30033976,0.4278274,0.4322209,0.22140062
-0.25219402,1.1145606,1.8928292,1.5000666,1.2211746,-0.6105366,0.020442396,-0.08430446,0.095209084,0.16141762
2.9487133,2.0067043,1.7502362,0.6144613,0.68521833,1.1285487,1.354347,1.3700917,1.406986,1.662099
-0.026215063,0.8874657,0.07871984,1.0046798,1.0843258,2.044224,1.6553284,1.431418,1.2348638,0.9649634
-0.22359596,-0.5679102,-0.2249443,-0.3155066,-0.69798946,-1.4046495,-0.3677999,-0.07794417,0.054423627,0.22734177
-0.778806,-0.3188491,-0.10308158,-0.75262326,-0.6058456,-1.647946,-0.43935376,-0.08454842,-0.025096914,-0.17357486
0.42265472,0.4084001,-1.4868598,0.15159291,-0.12190373,1.4873236,1.2780459,0.8848953,0.6773559,0.7247788
-1.4246373,-0.8622817,0.1657213,-0.9107718,-1.1296769,0.8656155,0.51968384,0.47799996,0.41296545,0.7953566
0.3230634,-0.12304679,0.50360864,0.30601895,-0.41399384,-1.5600481,-0.80182904,-1.0105708,-0.9374275,-1.1680695
1.3750656,0.46711674,1.4005691,0.23843421,-0.009455732,0.5994083,0.35741588,-0.064304695,-0.057729952,0.02607666
2.7528675,0.9354194,0.30793157,0.85078365,0.6749515,-1.9266971,-1.7288815,-1.485202,-1.4419249,-1.3788247
-2.2723472,-2.8977842,-1.9051423,-2.410467,-2.315083,-2.186738,-1.6269099,-1.1836166,-1.3948464,-0.99817586
