train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
2.7966166,0.9639058,1.7762314,1.0142205,1.3053675,1.9923072,1.6915722,1.4923315,0.5233104,1.3773288
2.6262217,1.0034854,0.0919965,0.6247158,0.6344834,2.5786324,1.6067306,0.865351,1.5528687,1.1393173
-0.96328646,-0.36380246,-1.1134955,-0.45105776,-0.68502694,2.2803223,0.76818013,0.68095446,0.4612445,0.6351671
3.4385407,0.4191431,1.9906336,0.41735908,0.98586524,1.7443216,0.5184188,0.13833281,0.5600645,1.0641814
2.1243043,0.5932695,0.34771252,1.4371102,1.2882867,1.562248,0.2902965,0.42448387,0.03077204,0.43135434
-0.17269337,-0.8184431,-0.36446145,-0.30949074,-0.39079714,2.8006742,0.41682047,0.6163833,1.1193343,0.82762426
0.113780044,-1.3361721,-1.171163,-1.3985543,-1.6302885,4.332835,2.6760476,2.5368385,1.5542743,1.8247135
0.8949364,-0.40772787,1.0564483,-0.3742408,-0.006403946,2.5107112,2.2329316,1.3943138,1.1713903,1.7246134
-0.30764136,-1.151216,-1.352237,-1.0529252,-1.3234929,6.0872636,3.0476117,1.645439,2.236958,2.0653806
4.2328606,2.3835235,2.4152155,1.9044479,2.0043972,3.8876355,1.5039219,0.51059765,1.3430854,1.3803784
-0.5134171,-0.56247115,-1.4764568,-0.6552002,-1.0326078,0.063032135,0.011557982,-0.15141422,-0.05331083,0.44937608
2.749544,1.8342474,0.53333414,0.53311473,0.41665652,3.598957,2.201818,1.2984005,1.2396721,2.3266485
2.0743434,1.2533174,-0.10559143,-1.1181201,-0.2277852,0.3345233,-0.3394815,-0.14775021,-0.048032634,0.05637529
3.5034368,1.6051962,1.9808981,1.5806581,1.7994883,2.3759496,1.0288861,1.8156091,0.5237664,0.6773154
1.7592579,0.037933595,0.17075758,0.85612947,0.76676446,3.2971013,0.749369,1.3712348,1.7767041,0.7139744
3.0656986,1.6400878,1.4921026,0.97177976,1.43722,1.9638534,2.011809,0.91593385,0.85531527,0.57948506
-0.6606053,-1.4796963,-0.8071384,-0.32943153,-0.5960083,2.7635207,1.8791766,0.83007556,1.5095526,1.3063873
1.2403,1.3290766,0.9000071,0.41707498,0.325179,0.98821867,0.38707435,-0.260378,0.476733,0.33049744
4.314693,1.2248472,1.9258661,1.422976,1.3958716,3.710627,2.3276591,1.4793038,2.357159,1.9816954
-0.35747948,-0.4325983,-0.1259866,-0.23763324,-0.22041914,2.5524092,0.9965165,1.1771513,1.0917873,0.81422
4.652802,3.601574,2.7761552,2.1521764,2.4406424,0.013602835,-0.3949291,-0.20244212,0.03993335,0.197042
2.5568547,0.8895991,1.6145934,1.124606,1.762803,3.0407689,0.92525554,0.6662512,1.1668104,1.348552
-1.4904898,-1.4315957,-0.993884,-1.2193722,-0.7120876,0.2431945,0.4863063,1.1100597,0.7928988,0.7442649
1.8595909,1.3729682,1.9132081,1.865268,2.02053,4.0955806,1.5235584,1.1266112,1.6497213,1.6050388
