,xval,x0,y0,z0,x1,y1,z1
0,1e-05,-0.052000000000000046,-0.9770000000000001,-0.07250000000000001,-0.07749999999999996,-0.07749999999999996,0.9764999999999999
1,0.002,-0.09050000000000002,-0.8674999999999999,-0.4255,-0.15700000000000003,-0.4905,0.8265
2,0.004,-0.06549999999999995,-0.692,-0.6895,-0.11149999999999999,-0.698,0.657
3,0.006,-0.010499999999999954,-0.4765,-0.8720000000000001,-0.04249999999999998,-0.851,0.4195
4,0.008,-0.051500000000000046,-0.1855,-0.9524999999999999,-0.004999999999999949,-0.9555,0.13599999999999995
5,0.01,-0.022499999999999964,0.09400000000000003,-0.9630000000000001,-0.0040000000000000036,-0.968,-0.12799999999999995
6,0.012,-0.03200000000000003,0.37400000000000005,-0.9015,0.019500000000000017,-0.9019999999999999,-0.36650000000000005
7,0.014,0.00649999999999995,0.627,-0.7470000000000001,0.068,-0.726,-0.621
8,0.016,-0.003500000000000003,0.831,-0.5025,0.06000000000000005,-0.504,-0.8545
9,0.018000000000000002,-0.002999999999999947,0.9804999999999999,-0.09250000000000003,0.04400000000000004,-0.09200000000000003,-0.972
10,0.02,0.02849999999999997,0.9535,0.27249999999999996,0.034999999999999976,0.23049999999999998,-0.938
11,0.022,0.012999999999999956,0.8345,0.5515000000000001,0.061500000000000055,0.5385,-0.78
12,0.024,-0.013500000000000012,0.6014999999999999,0.7615000000000001,0.04899999999999999,0.788,-0.6020000000000001
13,0.026000000000000002,0.03150000000000003,0.36200000000000004,0.9119999999999999,0.04200000000000004,0.913,-0.278
14,0.028,0.03200000000000003,0.044999999999999984,0.984,0.012999999999999956,0.9810000000000001,-0.013500000000000012
15,0.03,-0.01150000000000001,-0.24100000000000005,0.9339999999999999,-0.046499999999999986,0.9435,0.3085
16,0.032,0.009500000000000008,-0.5529999999999999,0.7965,0.0040000000000000036,0.7975000000000001,0.5705
17,0.034,-0.009500000000000008,-0.7965,0.5085,-0.0024999999999999467,0.5425,0.8400000000000001
18,0.036000000000000004,-0.04299999999999998,-0.9564999999999999,0.20449999999999996,0.0015000000000000013,0.23150000000000004,0.9670000000000001
19,0.038,0.006999999999999951,-0.9615,-0.123,0.024999999999999967,-0.10600000000000004,0.9724999999999999
20,0.04,0.00649999999999995,-0.8815,-0.428,0.0009999999999999454,-0.45849999999999996,0.8815
21,0.042,-0.034499999999999975,-0.7084999999999999,-0.7084999999999999,0.008999999999999952,-0.71,0.6805000000000001
22,0.044,0.010000000000000009,-0.46399999999999997,-0.865,0.0044999999999999485,-0.8525,0.43050000000000005
23,0.046,-0.010000000000000009,-0.1195,-0.9635,0.03150000000000003,-0.9590000000000001,0.14450000000000002
24,0.048,0.026000000000000023,0.19799999999999995,-0.9490000000000001,0.01649999999999996,-0.9575,-0.19599999999999995
25,0.05,0.0044999999999999485,0.5405,-0.7935000000000001,0.028000000000000025,-0.8015000000000001,-0.5405
26,0.052000000000000005,0.019500000000000017,0.792,-0.5745,0.014499999999999957,-0.5985,-0.7925
27,0.054,0.01699999999999996,0.9259999999999999,-0.28049999999999997,0.019500000000000017,-0.27649999999999997,-0.9279999999999999
28,0.056,0.026499999999999968,0.9824999999999999,0.050000000000000044,0.0,0.004999999999999949,-0.9744999999999999
29,0.058,-0.020999999999999963,0.9259999999999999,0.38199999999999995,-0.015500000000000014,0.377,-0.9055
30,0.06,0.019500000000000017,0.7635000000000001,0.613,0.016000000000000014,0.627,-0.754
31,0.062,0.0044999999999999485,0.5369999999999999,0.8254999999999999,0.012499999999999956,0.8285,-0.4965
32,0.064,-0.00649999999999995,0.20550000000000002,0.9630000000000001,0.01649999999999996,0.9590000000000001,-0.178
33,0.066,-0.007500000000000007,-0.13599999999999995,0.9630000000000001,0.03150000000000003,0.9650000000000001,0.1895
34,0.068,-0.024999999999999967,-0.455,0.8605,0.02400000000000002,0.8694999999999999,0.5055000000000001
35,0.07,-0.04150000000000004,-0.726,0.6655,0.020000000000000018,0.6335,0.758
36,0.07200000000000001,-0.040000000000000036,-0.905,0.369,-0.018000000000000016,0.36650000000000005,0.919
37,0.074,-0.02849999999999997,-0.9744999999999999,0.0665,0.013500000000000012,0.046499999999999986,0.9864999999999999
38,0.076,-0.038000000000000034,-0.9255,-0.27499999999999997,-0.014999999999999958,-0.262,0.946
39,0.078,-0.012999999999999956,-0.7775000000000001,-0.5565,0.005500000000000005,-0.5525,0.81
40,0.08,-0.02200000000000002,-0.573,-0.804,0.014499999999999957,-0.806,0.5954999999999999
41,0.082,-0.01150000000000001,-0.25099999999999995,-0.9424999999999999,-0.02350000000000002,-0.9530000000000001,0.23500000000000004
42,0.084,0.005500000000000005,0.08549999999999996,-0.9704999999999999,-0.004999999999999949,-0.9655,-0.08450000000000002
