,xval,x0,y0,z0,x1,y1,z1
0,1e-05,-0.02849999999999997,-0.04200000000000004,0.9890000000000001,-0.014000000000000012,-0.06899999999999995,0.9875
1,0.002,-0.10149999999999998,-0.3965,0.907,-0.07149999999999995,-0.40349999999999997,0.8945000000000001
2,0.004,-0.07250000000000001,-0.6054999999999999,0.7809999999999999,-0.061500000000000055,-0.6134999999999999,0.764
3,0.006,-0.10349999999999998,-0.7625,0.605,-0.012999999999999956,-0.7895000000000001,0.5920000000000001
4,0.008,-0.06499999999999995,-0.893,0.42100000000000004,0.005500000000000005,-0.8855,0.39199999999999996
5,0.01,-0.04550000000000004,-0.9664999999999999,0.20750000000000002,0.03350000000000003,-0.9584999999999999,0.18050000000000005
6,0.012,-0.05449999999999999,-0.986,-0.056499999999999995,0.056999999999999995,-0.99,-0.020499999999999963
7,0.014,-0.008499999999999952,-0.948,-0.2755,0.05449999999999999,-0.9550000000000001,-0.2465
8,0.016,-0.006999999999999951,-0.877,-0.451,0.06299999999999994,-0.865,-0.46049999999999996
9,0.018000000000000002,-0.07200000000000001,-0.6699999999999999,-0.7330000000000001,0.007500000000000007,-0.637,-0.7295
10,0.02,-0.028000000000000025,-0.414,-0.8819999999999999,0.034999999999999976,-0.42050000000000004,-0.8785000000000001
11,0.022,-0.008999999999999952,-0.16399999999999998,-0.9670000000000001,0.038000000000000034,-0.1735,-0.9670000000000001
12,0.024,-0.02699999999999997,0.06499999999999995,-0.9815,0.04350000000000004,0.046499999999999986,-0.984
13,0.026000000000000002,-0.012499999999999956,0.2965,-0.9259999999999999,0.008499999999999952,0.2795,-0.9215
14,0.028,-0.032999999999999974,0.5465,-0.8225,0.040000000000000036,0.5625,-0.813
15,0.03,-0.0044999999999999485,0.7290000000000001,-0.6759999999999999,0.015500000000000014,0.7290000000000001,-0.6835
16,0.032,-0.022999999999999965,0.8755,-0.467,0.03249999999999997,0.8480000000000001,-0.48150000000000004
17,0.034,0.020499999999999963,0.9790000000000001,-0.22199999999999998,0.0009999999999999454,0.9770000000000001,-0.19849999999999995
18,0.036000000000000004,0.008000000000000007,0.994,0.07949999999999996,-0.01649999999999996,0.9930000000000001,0.10400000000000004
19,0.038,0.010999999999999954,0.929,0.3225,-0.02200000000000002,0.9359999999999999,0.326
20,0.04,-0.0009999999999999454,0.8214999999999999,0.5720000000000001,-0.03400000000000003,0.815,0.5674999999999999
21,0.042,0.005500000000000005,0.6265000000000001,0.768,0.010000000000000009,0.6379999999999999,0.7655000000000001
22,0.044,-0.012499999999999956,0.422,0.911,-0.02350000000000002,0.445,0.889
23,0.046,-0.06949999999999995,0.18450000000000005,0.9750000000000001,-0.03200000000000003,0.20999999999999996,0.9750000000000001
24,0.048,0.008499999999999952,-0.04750000000000004,0.9890000000000001,-0.0024999999999999467,-0.05800000000000005,0.9935
25,0.05,-0.006999999999999951,-0.29800000000000004,0.94,-0.013500000000000012,-0.33349999999999996,0.9375
26,0.052000000000000005,-0.030999999999999972,-0.5674999999999999,0.8009999999999999,0.0004999999999999449,-0.5894999999999999,0.8025
27,0.054,-0.04200000000000004,-0.77,0.6114999999999999,0.01649999999999996,-0.7829999999999999,0.6180000000000001
28,0.056,-0.02150000000000002,-0.8959999999999999,0.38199999999999995,-0.008499999999999952,-0.895,0.3945
29,0.058,-0.046499999999999986,-0.9810000000000001,0.14650000000000002,-0.0044999999999999485,-0.9795,0.15199999999999997
30,0.06,-0.040000000000000036,-0.9775,-0.11850000000000005,-0.009500000000000008,-0.9790000000000001,-0.13599999999999995
31,0.062,-0.03849999999999998,-0.927,-0.3325,-0.013500000000000012,-0.9335,-0.31000000000000005
32,0.064,-0.007500000000000007,-0.8035000000000001,-0.5549999999999999,-0.013500000000000012,-0.8045,-0.5665
33,0.066,-0.02200000000000002,-0.625,-0.7805,0.026000000000000023,-0.6074999999999999,-0.766
34,0.068,-0.007500000000000007,-0.361,-0.9235,0.02200000000000002,-0.37450000000000006,-0.9159999999999999
35,0.07,-0.010999999999999954,-0.10400000000000004,-0.9770000000000001,0.03699999999999998,-0.09050000000000002,-0.9844999999999999
36,0.07200000000000001,0.02899999999999997,0.191,-0.974,-0.0020000000000000018,0.17900000000000005,-0.9770000000000001
37,0.074,0.02400000000000002,0.40650000000000003,-0.8895,0.03550000000000003,0.4355,-0.8945000000000001
38,0.076,0.010000000000000009,0.649,-0.7625,0.02699999999999997,0.6425000000000001,-0.7665
39,0.078,-0.0024999999999999467,0.8035000000000001,-0.5645,-0.004999999999999949,0.8095000000000001,-0.5900000000000001
40,0.08,0.02150000000000002,0.935,-0.34800000000000003,-0.0009999999999999454,0.9299999999999999,-0.35600000000000004
41,0.082,0.029500000000000026,0.9895,-0.08200000000000002,-0.0004999999999999449,0.9884999999999999,-0.12250000000000005
42,0.084,0.009500000000000008,0.9735,0.21049999999999996,-0.032999999999999974,0.978,0.20449999999999996
43,0.08600000000000001,0.008000000000000007,0.875,0.45449999999999996,-0.014499999999999957,0.8855,0.44999999999999996
44,0.088,-0.022499999999999964,0.72,0.6639999999999999,-0.039500000000000035,0.73,0.6705000000000001
45,0.09,-0.0040000000000000036,0.5155000000000001,0.8500000000000001,-0.03350000000000003,0.5325,0.8400000000000001
46,0.092,-0.014999999999999958,0.30800000000000005,0.9404999999999999,-0.022999999999999965,0.31200000000000006,0.9464999999999999
47,0.094,-0.049500000000000044,0.025500000000000023,0.992,-0.04350000000000004,0.028000000000000025,0.994
48,0.096,-0.034999999999999976,-0.23399999999999999,0.968,-0.034999999999999976,-0.18999999999999995,0.972
49,0.098,-0.03200000000000003,-0.4675,0.8825000000000001,-0.03699999999999998,-0.44449999999999995,0.897
50,0.2,-0.03600000000000003,-0.9750000000000001,-0.16700000000000004,-0.03400000000000003,-0.978,-0.11050000000000004
51,0.1,-0.038000000000000034,-0.7055,0.708,-0.05499999999999999,-0.6924999999999999,0.7270000000000001
52,0.10200000000000001,-0.05299999999999999,-0.8625,0.49900000000000005,-0.017500000000000016,-0.853,0.48350000000000004
53,0.10400000000000001,-0.04249999999999998,-0.9655,0.256,-0.022999999999999965,-0.9604999999999999,0.242
54,0.106,-0.050000000000000044,-0.9895,-0.008499999999999952,0.022499999999999964,-0.9870000000000001,0.0024999999999999467
