,xval,x0,y0,z0,x1,y1,z1
0,0.002,-0.07949999999999996,-0.9555,0.10250000000000004,-0.123,0.09400000000000003,0.9504999999999999
1,0.004,-0.06699999999999995,-0.9695,-0.10400000000000004,-0.12050000000000005,-0.12999999999999995,0.946
2,0.006,-0.061,-0.9155,-0.301,-0.06349999999999995,-0.31499999999999995,0.9079999999999999
3,0.008,-0.06000000000000005,-0.8360000000000001,-0.5085,-0.0625,-0.514,0.7929999999999999
4,0.01,-0.05249999999999999,-0.7164999999999999,-0.6695,-0.04150000000000004,-0.7075,0.6459999999999999
5,0.012,-0.01200000000000001,-0.5549999999999999,-0.7869999999999999,-0.03350000000000003,-0.81,0.5325
6,0.014,0.01649999999999996,-0.35650000000000004,-0.9115,-0.016000000000000014,-0.899,0.291
7,0.016,-0.0015000000000000013,-0.14850000000000002,-0.96,0.03150000000000003,-0.952,0.09800000000000003
8,0.018000000000000002,-0.019500000000000017,0.04150000000000004,-0.97,0.068,-0.9635,-0.08749999999999997
9,0.02,0.005500000000000005,0.25899999999999995,-0.9239999999999999,0.02150000000000002,-0.9105000000000001,-0.322
10,0.022,0.0044999999999999485,0.5700000000000001,-0.78,0.0015000000000000013,-0.79,-0.607
11,0.024,-0.02150000000000002,0.7645,-0.5794999999999999,0.0044999999999999485,-0.554,-0.7915000000000001
12,0.026000000000000002,0.003500000000000003,0.8885000000000001,-0.35850000000000004,0.02899999999999997,-0.34600000000000003,-0.903
13,0.028,-0.005500000000000005,0.9475,-0.15850000000000003,0.050000000000000044,-0.13749999999999996,-0.9630000000000001
14,0.03,0.010499999999999954,0.9510000000000001,0.12000000000000005,0.04750000000000004,0.1195,-0.9670000000000001
15,0.032,0.002999999999999947,0.8959999999999999,0.31549999999999995,0.04099999999999998,0.332,-0.9095
16,0.034,-0.018000000000000016,0.8089999999999999,0.542,0.05800000000000005,0.514,-0.8140000000000001
17,0.036000000000000004,-0.002999999999999947,0.6539999999999999,0.6884999999999999,0.04550000000000004,0.7015,-0.6525000000000001
18,0.038,0.007500000000000007,0.49350000000000005,0.837,0.016000000000000014,0.837,-0.474
19,0.04,-0.02150000000000002,0.29150000000000004,0.921,-0.0015000000000000013,0.9115,-0.2735
20,0.042,-0.02150000000000002,-0.003500000000000003,0.9550000000000001,0.024499999999999966,0.95,0.010499999999999954
21,0.044,-0.0004999999999999449,-0.27249999999999996,0.9199999999999999,0.0044999999999999485,0.927,0.3005
22,0.046,-0.010999999999999954,-0.49700000000000005,0.8254999999999999,0.0020000000000000018,0.8280000000000001,0.494
23,0.048,-0.020000000000000018,-0.7,0.669,0.00649999999999995,0.6839999999999999,0.6855
24,0.05,-0.0004999999999999449,-0.8365,0.4725,0.0024999999999999467,0.47700000000000004,0.8494999999999999
25,0.052000000000000005,-0.008000000000000007,-0.9335,0.27,-0.008499999999999952,0.268,0.9305000000000001
26,0.054,-0.017500000000000016,-0.9710000000000001,0.034499999999999975,-0.012499999999999956,0.046999999999999986,0.9604999999999999
27,0.056,-0.02350000000000002,-0.9530000000000001,-0.17250000000000004,-0.04249999999999998,-0.1795,0.9430000000000001
28,0.058,0.0044999999999999485,-0.8905000000000001,-0.3845,-0.01849999999999996,-0.42050000000000004,0.8645
29,0.06,0.006999999999999951,-0.796,-0.5814999999999999,-0.012499999999999956,-0.599,0.7545
30,0.062,0.0015000000000000013,-0.5960000000000001,-0.7865,-0.008000000000000007,-0.7825,0.5545
31,0.064,0.02899999999999997,-0.3555,-0.8975,0.022499999999999964,-0.9135,0.3385
32,0.066,0.03550000000000003,-0.08450000000000002,-0.9650000000000001,-0.010499999999999954,-0.9684999999999999,0.08850000000000002
33,0.068,0.044999999999999984,0.137,-0.9535,0.0044999999999999485,-0.956,-0.15700000000000003
34,0.07,0.020999999999999963,0.391,-0.8899999999999999,0.04150000000000004,-0.8939999999999999,-0.4075
35,0.07200000000000001,0.03899999999999998,0.581,-0.7729999999999999,0.006999999999999951,-0.7785,-0.5854999999999999
36,0.074,0.07,0.768,-0.6200000000000001,0.04249999999999998,-0.5765,-0.758
37,0.076,0.04550000000000004,0.8700000000000001,-0.43250000000000005,0.029500000000000026,-0.4315,-0.8799999999999999
38,0.078,0.030000000000000027,0.9475,-0.16900000000000004,0.04400000000000004,-0.1975,-0.9555
39,0.08,0.022999999999999965,0.958,0.044499999999999984,0.029500000000000026,0.04200000000000004,-0.9644999999999999
40,0.082,0.026000000000000023,0.909,0.272,0.025500000000000023,0.3025,-0.9265000000000001
41,0.084,0.01849999999999996,0.806,0.5505,0.05299999999999999,0.5209999999999999,-0.8165
42,0.08600000000000001,0.006999999999999951,0.6325000000000001,0.7364999999999999,0.03550000000000003,0.7190000000000001,-0.6385000000000001
43,0.088,-0.030999999999999972,0.43,0.8625,0.05550000000000005,0.8819999999999999,-0.4275
44,0.09,-0.008499999999999952,0.17650000000000005,0.9404999999999999,0.02400000000000002,0.9424999999999999,-0.203
45,0.092,-0.04400000000000004,-0.027500000000000024,0.9650000000000001,0.03200000000000003,0.9655,0.019500000000000017
46,0.094,-0.028000000000000025,-0.27899999999999997,0.9175,0.008999999999999952,0.925,0.287
47,0.096,-0.017500000000000016,-0.4675,0.833,0.024999999999999967,0.8420000000000001,0.49150000000000005
48,0.098,-0.02400000000000002,-0.6679999999999999,0.6755,-0.026000000000000023,0.673,0.6819999999999999
49,0.1,-0.039500000000000035,-0.8180000000000001,0.5175000000000001,-0.015500000000000014,0.5129999999999999,0.8165
