lamb,lamb_entropy,acc,pretrain_acc
0.005,0.2,283.0000011920929,267.00000047683716
0.005,0.4,280.99999952316284,268.00000047683716
0.005,0.6,280.99999952316284,266.00000047683716
0.005,0.8,280.99999952316284,266.00000047683716
0.005,1.0,280.99999952316284,266.00000047683716
0.005,1.2,280.99999952316284,266.00000047683716
0.005,1.4,280.99999952316284,266.00000047683716
